rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,PNPPoints,-,x,y,z,-,x,y,z,-,x,y,z,-,x,y,z,-,x,y,z,t,x,y,z,q
1.61609E+18,,115,,1611648468,402452140,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,116,,1611648468,418897277,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,117,,1611648468,434608976,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,118,,1611648468,446227938,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,119,,1611648468,460028360,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,120,,1611648468,476162198,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,121,,1611648468,494418564,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,122,,1611648468,510143483,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,123,,1611648468,523259933,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,124,,1611648468,534608250,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,125,,1611648468,548025925,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,126,,1611648468,559343327,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,127,,1611648468,576021201,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,128,,1611648468,592406733,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,129,,1611648468,603349040,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,130,,1611648468,617553544,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,131,,1611648468,633267219,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,132,,1611648468,649515902,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,133,,1611648468,661480289,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,134,,1611648468,674839192,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,135,,1611648468,686569529,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,136,,1611648468,703640597,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,137,,1611648468,719976832,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,138,,1611648468,732292834,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,139,,1611648468,748387647,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,140,,1611648468,759850923,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,141,,1611648468,773734268,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,142,,1611648468,788275958,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-71.56726837,207.4873047,101.324791,"[0.5667181611061096, -0.08088211715221405, 0.8196358680725098, -0.022037841379642487]",,,,,
1.61609E+18,,143,,1611648715,803905865,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.8140869,-28.66902542,79.75817871,"[0.6952637434005737, -0.043037690222263336, 0.7167089581489563, -0.032929226756095886]",,,,,
1.61609E+18,,144,,1611648715,819405352,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.8140869,-28.66902542,79.75817871,"[0.6952637434005737, -0.043037690222263336, 0.7167089581489563, -0.032929226756095886]",,,,,
1.61609E+18,,145,,1611648715,835537033,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.8140869,-28.66902542,79.75817871,"[0.6952637434005737, -0.043037690222263336, 0.7167089581489563, -0.032929226756095886]",,,,,
1.61609E+18,,146,,1611648715,846771657,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.8140869,-28.66902542,79.75817871,"[0.6952637434005737, -0.043037690222263336, 0.7167089581489563, -0.032929226756095886]",,,,,
1.61609E+18,,147,,1611648715,862979092,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.5847778,-26.48878098,85.91101074,"[0.7111005187034607, -0.04757247492671013, 0.7008913159370422, -0.028711289167404175]",,,,,
1.61609E+18,,148,,1611648715,877190821,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.5847778,-26.48878098,85.91101074,"[0.7111005187034607, -0.04757247492671013, 0.7008913159370422, -0.028711289167404175]",,,,,
1.61609E+18,,149,,1611648715,895464911,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.8140869,-28.66902542,79.75817871,"[0.6952637434005737, -0.043037690222263336, 0.7167089581489563, -0.032929226756095886]",,,,,
1.61609E+18,,150,,1611648715,911561314,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.8140869,-28.66902542,79.75817871,"[0.6952637434005737, -0.043037690222263336, 0.7167089581489563, -0.032929226756095886]",,,,,
1.61609E+18,,151,,1611648715,931819152,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.5847778,-26.48878098,85.91101074,"[0.7111005187034607, -0.04757247492671013, 0.7008913159370422, -0.028711289167404175]",,,,,
1.61609E+18,,152,,1611648715,943531275,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,348.5847778,-26.48878098,85.91101074,"[0.7111005187034607, -0.04757247492671013, 0.7008913159370422, -0.028711289167404175]",,,,,
1.61609E+18,,153,,1611648715,960590736,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,347.6417542,-25.98127556,77.06915283,"[0.6886755228042603, -0.04827531427145004, 0.723030686378479, -0.024943504482507706]",,,,,
1.61609E+18,,154,,1611648715,975932564,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,347.6417542,-25.98127556,77.06915283,"[0.6886755228042603, -0.04827531427145004, 0.723030686378479, -0.024943504482507706]",,,,,
1.61609E+18,,155,,1611648715,989558538,'',,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,347.6417542,-25.98127556,77.06915283,"[0.6886755228042603, -0.04827531427145004, 0.723030686378479, -0.024943504482507706]",,,,,
