stamp,secs,nsecs,x,y,z,q
,1615969940,471918135,-1300.434692,-541.0469971,172.1983185,"[0.7144565582275391, -0.02290758118033409, 0.6964895725250244, -0.06268500536680222]"
,1615969940,486796212,-1300.434692,-541.0469971,172.1983185,"[0.7144565582275391, -0.02290758118033409, 0.6964895725250244, -0.06268500536680222]"
,1615969940,503666165,-1300.434692,-541.0469971,172.1983185,"[0.7144565582275391, -0.02290758118033409, 0.6964895725250244, -0.06268500536680222]"
,1615969940,517544297,-1300.434692,-541.0469971,172.1983185,"[0.7144565582275391, -0.02290758118033409, 0.6964895725250244, -0.06268500536680222]"
,1615969940,534712301,-1303.24231,-542.4022827,174.6417694,"[0.7190346121788025, -0.019801419228315353, 0.6913950443267822, -0.06760211288928986]"
,1615969940,550382210,-1303.24231,-542.4022827,174.6417694,"[0.7190346121788025, -0.019801419228315353, 0.6913950443267822, -0.06760211288928986]"
,1615969940,565396755,-1303.24231,-542.4022827,174.6417694,"[0.7190346121788025, -0.019801419228315353, 0.6913950443267822, -0.06760211288928986]"
,1615969940,579857154,-1303.24231,-542.4022827,174.6417694,"[0.7190346121788025, -0.019801419228315353, 0.6913950443267822, -0.06760211288928986]"
,1615969940,591370505,-1303.24231,-542.4022827,174.6417694,"[0.7190346121788025, -0.019801419228315353, 0.6913950443267822, -0.06760211288928986]"
,1615969940,605328516,-1303.239624,-541.3759766,174.1947784,"[0.7181702256202698, -0.022061945870518684, 0.6925199627876282, -0.06450475007295609]"
,1615969940,621819389,-1303.239624,-541.3759766,174.1947784,"[0.7181702256202698, -0.022061945870518684, 0.6925199627876282, -0.06450475007295609]"
,1615969940,636891845,-1303.239624,-541.3759766,174.1947784,"[0.7181702256202698, -0.022061945870518684, 0.6925199627876282, -0.06450475007295609]"
,1615969940,650418502,-1303.239624,-541.3759766,174.1947784,"[0.7181702256202698, -0.022061945870518684, 0.6925199627876282, -0.06450475007295609]"
,1615969940,664258930,-1303.239624,-541.3759766,174.1947784,"[0.7181702256202698, -0.022061945870518684, 0.6925199627876282, -0.06450475007295609]"
,1615969940,680096548,-1303.411011,-540.8905029,174.7970886,"[0.7197134494781494, -0.022966893389821053, 0.6910125613212585, -0.06314083188772202]"
,1615969940,697010503,-1303.411011,-540.8905029,174.7970886,"[0.7197134494781494, -0.022966893389821053, 0.6910125613212585, -0.06314083188772202]"
,1615969940,709159084,-1303.411011,-540.8905029,174.7970886,"[0.7197134494781494, -0.022966893389821053, 0.6910125613212585, -0.06314083188772202]"
,1615969940,724556761,-1303.411011,-540.8905029,174.7970886,"[0.7197134494781494, -0.022966893389821053, 0.6910125613212585, -0.06314083188772202]"
,1615969940,740278455,-1303.411011,-540.8905029,174.7970886,"[0.7197134494781494, -0.022966893389821053, 0.6910125613212585, -0.06314083188772202]"
,1615969940,756901264,-1300.91333,-542.0098877,172.5688477,"[0.7148212194442749, -0.02055114507675171, 0.6959788203239441, -0.06497505307197571]"
